# SAPT0 interaction energy decomposition
# Equilibrium geometries only - the HB300SPX data set
# Individual components and total interaction energy, in kcal/mol
system  SAPT0_elst      SAPT0_exch      SAPT0_ind       SAPT0_disp      SAPT0_interaction_energy
1.01_100	-1.670	2.519	-0.771	-0.773	-0.694
1.02_100	-1.838	3.249	-1.637	-0.756	-0.982
1.03_100	-2.107	3.235	-1.884	-0.739	-1.495
1.04_100	-2.626	4.726	-2.528	-1.009	-1.436
1.05_100	-6.009	7.226	-1.700	-2.296	-2.779
1.06_100	-7.033	9.519	-2.971	-2.792	-3.277
1.07_100	-6.378	8.164	-3.647	-2.149	-4.011
1.08_100	-9.338	13.851	-4.570	-4.184	-4.240
1.09_100	-7.586	8.913	-1.780	-2.906	-3.359
1.10_100	-9.293	12.070	-2.835	-3.924	-3.982
1.11_100	-5.002	5.761	-2.440	-1.540	-3.222
1.12_100	-5.681	6.316	-2.318	-1.459	-3.142
1.13_100	-8.550	10.818	-3.196	-3.402	-4.330
1.14_100	-12.137	17.502	-4.557	-5.830	-5.021
1.15_100	-23.890	22.865	-2.934	-10.715	-14.674
1.16_100	-26.702	26.869	-3.591	-13.007	-16.432
1.17_100	-14.869	14.661	-2.898	-7.240	-10.346
1.18_100	-14.211	12.087	-2.247	-5.842	-10.213
1.19_100	-13.538	16.053	-3.114	-7.423	-8.023
1.20_100	-23.815	24.289	-3.799	-12.185	-15.510
1.21_100	-28.880	31.242	-4.773	-15.919	-18.331
1.22_100	-22.125	28.588	-4.119	-12.913	-10.569
1.23_100	-32.297	47.268	-6.904	-24.061	-15.995
1.24_100	-11.843	14.704	-3.811	-6.180	-7.129
1.25_100	-10.238	10.482	-2.545	-4.270	-6.572
1.26_100	-9.662	14.761	-3.988	-5.634	-4.524
1.27_100	-26.372	38.038	-6.691	-18.631	-13.656
1.28_100	-26.144	39.108	-5.526	-18.747	-11.308
1.29_100	-11.840	16.362	-4.391	-6.765	-6.635
1.30_100	-9.278	10.491	-2.727	-4.199	-5.713
1.31_100	-9.902	16.581	-4.706	-6.182	-4.209
1.32_100	-27.895	48.553	-23.231	-7.156	-9.729
1.33_100	-9.239	14.687	-5.401	-4.707	-4.660
1.34_100	-6.296	8.860	-2.727	-3.411	-3.574
2.01_100	-4.680	4.322	-2.390	-1.042	-3.791
2.02_100	-4.857	5.939	-2.695	-1.386	-2.998
2.03_100	-4.305	4.680	-2.179	-1.085	-2.890
2.04_100	-8.158	9.248	-2.651	-2.860	-4.421
2.05_100	-6.051	6.762	-2.159	-1.793	-3.241
2.06_100	-6.390	7.500	-2.302	-2.112	-3.304
2.07_100	-10.841	12.924	-3.698	-4.068	-5.684
2.08_100	-5.858	6.196	-1.781	-1.756	-3.199
2.09_100	-7.555	8.201	-2.683	-2.650	-4.688
2.10_100	-4.643	5.497	-2.309	-1.018	-2.473
2.11_100	-3.799	5.843	-3.214	-0.840	-2.011
2.12_100	-28.085	27.672	-3.977	-12.780	-17.170
2.13_100	-26.918	28.904	-4.023	-12.162	-14.199
2.14_100	-19.098	17.861	-2.914	-8.245	-12.396
2.15_100	-8.912	10.269	-1.981	-4.129	-4.753
2.16_100	-18.784	17.065	-3.098	-7.491	-12.309
2.17_100	-10.973	9.170	-1.793	-4.290	-7.886
2.18_100	-23.046	20.916	-3.285	-10.204	-15.618
2.19_100	-16.371	16.963	-2.882	-6.188	-8.479
2.20_100	-7.605	6.485	-1.484	-3.056	-5.660
2.21_100	-23.183	20.854	-3.502	-9.891	-15.722
2.22_100	-25.594	34.544	-5.760	-15.437	-12.248
2.23_100	-15.670	19.521	-3.949	-7.886	-7.985
2.24_100	-14.468	16.928	-4.162	-6.346	-8.049
2.25_100	-18.971	21.419	-4.011	-9.900	-11.464
2.26_100	-13.961	16.392	-3.006	-6.378	-6.954
2.27_100	-8.986	11.531	-3.087	-3.609	-4.152
2.28_100	-9.130	10.108	-2.783	-3.683	-5.488
2.29_100	-5.048	4.840	-1.561	-1.727	-3.495
2.30_100	-17.908	20.207	-4.316	-8.769	-10.786
2.31_100	-11.291	12.054	-2.003	-4.427	-5.666
2.32_100	-14.872	19.632	-4.165	-7.784	-7.189
2.33_100	-4.076	4.968	-1.778	-1.481	-2.367
2.34_100	-13.901	17.829	-4.647	-6.541	-7.259
2.35_100	-20.654	27.209	-5.322	-12.202	-10.969
2.36_100	-13.757	17.906	-3.363	-6.838	-6.052
2.37_100	-17.205	22.050	-4.883	-9.349	-9.387
2.38_100	-7.558	10.320	-3.148	-3.144	-3.529
2.39_100	-4.371	4.488	-1.581	-1.473	-2.937
2.40_100	-18.063	23.015	-5.018	-9.971	-10.037
2.41_100	-10.486	12.216	-2.078	-4.380	-4.728
2.42_100	-11.259	17.961	-6.349	-4.411	-4.058
2.43_100	-11.180	16.369	-5.875	-4.200	-4.886
2.44_100	-2.906	4.189	-0.922	-2.406	-2.045
2.45_100	-10.361	14.891	-4.934	-4.946	-5.350
2.46_100	-10.599	15.353	-5.190	-3.410	-3.846
2.47_100	-20.075	31.820	-13.354	-6.500	-8.109
2.48_100	-5.819	8.032	-2.132	-3.365	-3.284
2.49_100	-17.483	26.935	-10.482	-6.759	-7.789
2.50_100	-9.521	13.196	-4.503	-4.747	-5.575
2.51_100	-7.576	9.723	-3.142	-1.912	-2.907
3.01_100	-3.199	3.767	-1.814	-0.898	-2.143
3.02_100	-2.359	2.526	-0.918	-0.634	-1.384
3.03_100	-2.231	2.973	-1.926	-0.546	-1.730
3.04_100	-4.603	4.813	-1.491	-1.331	-2.611
3.05_100	-3.523	4.415	-1.779	-0.938	-1.825
3.06_100	-4.276	5.088	-1.945	-1.130	-2.263
3.07_100	-4.621	5.150	-2.172	-1.033	-2.675
3.08_100	-4.869	5.989	-1.967	-1.191	-2.038
3.09_100	-4.862	5.923	-3.040	-1.076	-3.055
3.10_100	-4.964	8.353	-5.545	-1.932	-4.088
3.11_100	-4.488	6.656	-4.086	-1.418	-3.336
3.12_100	-4.322	5.202	-2.038	-1.385	-2.543
3.13_100	-6.334	9.385	-4.449	-2.118	-3.517
3.14_100	-8.998	11.045	-2.918	-3.472	-4.344
3.15_100	-4.806	5.972	-2.824	-1.357	-3.015
3.16_100	-4.392	5.388	-2.689	-1.149	-2.843
3.17_100	-7.993	10.551	-3.630	-2.458	-3.531
3.18_100	-3.261	6.757	-3.983	-2.114	-2.601
3.19_100	-1.370	4.549	-3.387	-0.918	-1.126
3.20_100	-1.200	3.266	-1.554	-0.980	-0.468
3.21_100	-1.462	4.564	-3.079	-0.830	-0.807
3.22_100	-3.113	6.352	-4.763	-1.059	-2.582
